,Bank_name,Market_cap,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0, Industrial and Commercial Bank of China Limited,5742.86,5340.86,4594.29,476370.24
1, China Construction Bank,5016.81,4665.63,4013.45,416144.39
2, Agricultural Bank of China,4919.03,4574.7,3935.22,408033.54
3, Bank of China,4192.12,3898.67,3353.7,347736.35
4, JPMorgan Chase,3868.24,3597.46,3094.59,320870.51
5, Bank of America,3051.38,2837.78,2441.1,253111.97
6, Mitsubishi UFJ Financial Group,2967.91,2760.16,2374.33,246188.13
7, HSBC,2864.59,2664.07,2291.67,237617.74
8, BNP Paribas,2849.61,2650.14,2279.69,236375.15
9, Crédit Agricole,2542.61,2364.63,2034.09,210909.5
10, Citigroup Inc.,2416.68,2247.51,1933.34,200463.61
11, Postal Savings Bank of China,2039.56,1896.79,1631.65,169181.5
12, SMBC Group,2006.75,1866.28,1605.4,166459.91
13, Mizuho Financial Group,1909.35,1775.7,1527.48,158380.58
14, Bank of Communications,1883.72,1751.86,1506.98,156254.57
15, Wells Fargo,1881.02,1749.35,1504.82,156030.61
16, Banco Santander,1853.86,1724.09,1483.09,153777.69
17, Barclays,1823.84,1696.17,1459.07,151287.53
18, Japan Post Bank,1719.92,1599.53,1375.94,142667.36
19, UBS,1679.36,1561.8,1343.49,139302.91
20, Groupe BPCE,1636.35,1521.81,1309.08,135735.23
21, Société Générale,1588.99,1477.76,1271.19,131806.72
22, Royal Bank of Canada,1544.17,1436.08,1235.34,128088.9
23, Toronto-Dominion Bank,1524.83,1418.09,1219.86,126484.65
24, China Merchants Bank,1470.0,1367.1,1176.0,121936.5
25, Goldman Sachs,1441.8,1340.87,1153.44,119597.31
26, Deutsche Bank,1428.65,1328.64,1142.92,118506.52
27, Industrial Bank (China),1343.54,1249.49,1074.83,111446.64
28, China CITIC Bank,1239.28,1152.53,991.42,102798.28
29, Shanghai Pudong Development Bank,1184.28,1101.38,947.42,98236.03
30, Morgan Stanley,1180.23,1097.61,944.18,97900.08
31, Crédit Mutuel,1180.22,1097.6,944.18,97899.25
32, Lloyds Banking Group,1057.69,983.65,846.15,87735.39
33, China Minsheng Bank,1051.97,978.33,841.58,87260.91
34, Intesa Sanpaolo,1042.73,969.74,834.18,86494.45
35, ING Group,1034.32,961.92,827.46,85796.84
36, Scotiabank,1029.8,957.71,823.84,85421.91
37, UniCredit,916.72,852.55,733.38,76041.92
38, China Everbright Bank,913.49,849.55,730.79,75774.0
39, NatWest Group,867.59,806.86,694.07,71966.59
40, Bank of Montreal,859.05,798.92,687.24,71258.2
41, Commonwealth Bank,837.21,778.61,669.77,69446.57
42, Standard Chartered,819.92,762.53,655.94,68012.36
43, La Banque postale,796.88,741.1,637.5,66101.2
44, Ping An Bank,771.55,717.54,617.24,64000.07
45, Banco Bilbao Vizcaya Argentaria,762.15,708.8,609.72,63220.34
46, Norinchukin Bank,753.26,700.53,602.61,62482.92
